"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_pred[14]",1.92415416530197,0.00231485663494916,0.20999741306715,1.51666740256018,1.78184875044695,1.92362182957774,2.06644826709311,2.33986056927021,8229.61827191234,1.00040583194915
"theta_pred[15]",1.92060401752596,0.00229337459417667,0.209669147160225,1.51559132295265,1.77853615101509,1.91956276796456,2.06283986509887,2.33332151630901,8358.32132696625,1.00039177487557
"theta_pred[16]",1.91705386974995,0.00227350846011427,0.209475450194452,1.51163740971709,1.7751647097445,1.91539378410073,2.05921912297554,2.33184571523,8489.3241301803,1.00037703356815
"theta_pred[17]",1.91350372197394,0.00225530092523275,0.209416695572994,1.50813315864439,1.77187855881475,1.9115769159364,2.05494196779992,2.32965791340992,8622.1109845918,1.00036166134731
"theta_pred[18]",1.90995357419792,0.00223879244994206,0.209492996834087,1.50444981722067,1.76816594034515,1.90835449367686,2.05084184283611,2.32426841486275,8756.11287995066,1.00034571666901
"theta_pred[19]",1.90640342642191,0.00222402086610461,0.209704206556789,1.50114653879265,1.76453601326248,1.90463157671845,2.04637938483828,2.32148996921335,8890.71255755459,1.00032926238623
"theta_pred[20]",1.9028532786459,0.00221102098521314,0.210049917781392,1.49660433366077,1.76008305599088,1.90130628666789,2.04311776017742,2.31857957991094,9025.25128627832,1.00031236492621
"theta_pred[21]",1.89930313086988,0.00219982421958855,0.210529467912684,1.49502708862381,1.75684642560504,1.89763224083291,2.04016575630052,2.31587522950886,9159.03729043514,1.00029509340611
"theta_pred[22]",1.89575298309387,0.0021904582253514,0.211141945019216,1.49085050588778,1.75230469561711,1.89329047060914,2.03690713881757,2.31361850169398,9291.35568347203,1.00027751871144
"theta_pred[23]",1.89220283531786,0.00218294657599854,0.21188619639011,1.48666301393462,1.74874078253225,1.89054261172158,2.03298761887737,2.31226541924767,9421.47967318444,1.00025971256247
"theta_pred[24]",1.88865268754184,0.0021773084751328,0.2127608391648,1.48139626974157,1.74505710869274,1.88695220314914,2.02902164324377,2.31103972126516,9548.68272086013,1.00024174659366
"theta_pred[25]",1.88510253976583,0.00217355851623055,0.213764272811953,1.47738212244704,1.74014586369589,1.88386074040987,2.02551110797401,2.30887738348733,9672.25126565058,1.00022369146929
