"b_Intercept","b_AU10","b_AU12","sigma","Intercept","lp__"
1.82789481561993,4.35450686060243,-1.35746065699948,1.95117594911832,2.14766252253072,-243.922035303952
2.15074513900347,4.78224181439499,-1.35157318749023,2.00221173305483,2.53072886771515,-244.761376456667
1.64749191680489,5.4295932673262,-1.57039157890199,1.96093607458664,2.07149273045636,-245.338870903802
1.92997315656059,3.61517900024132,-0.646773133167604,2.18170563062916,2.29480340490403,-246.5745719739
2.10610916173368,3.7997070469412,-1.87932375725182,2.13450999615109,2.24138108050105,-245.604443619914
1.6215825449225,4.73459463906214,-0.815477340259729,2.11099124028376,2.10591063163595,-245.267987868315
1.85256058855507,4.20887689880228,-0.56193030420563,2.00682442854279,2.31683389096801,-245.531910180981
1.65888557256994,4.18099526310897,-0.955738566300702,2.11717311369487,2.03783556066068,-245.243691597103
2.18647487443797,4.55799871523184,-2.03287758703347,1.92824044558378,2.39456898956648,-244.798962787727
2.05473329779564,5.06638110961491,-2.16018212567413,2.15531555774643,2.30661025243063,-245.27072654006
2.10384664952232,4.41369872561308,-1.29280170636202,2.06997056652543,2.44515646553199,-244.284302572982
1.82690439213392,5.19463741930967,-0.5624038607455,2.08622432599808,2.42704668567756,-247.04549951963
2.30131748773388,3.38265564097005,-2.14576212255007,2.0101627403347,2.32393989561594,-247.906390258151
1.39075657557,4.9168380340711,-0.302745763379201,1.90369345676726,2.00630407750135,-249.072921823356
1.96855516193328,3.74389847659306,-1.35068078696853,1.97492140374705,2.20550375450435,-244.824586117048
1.45006734545828,4.53877444374272,-1.05228196783772,1.91537430406159,1.8583916891805,-246.751573935736
1.3687946084455,3.83755221000274,-0.678214641575482,1.77508579207848,1.75779188398199,-252.362215494352
2.12370932345447,3.90116606320419,-1.57893054701895,2.00148873800619,2.33512590865113,-244.556404042791
2.15945294359105,5.0098028907156,-1.52543436691883,2.08752399126145,2.53485312846516,-245.072499914734
2.12100419522592,5.26860461710586,-2.37364597003516,2.06137730431909,2.3566091141298,-245.82734344614
1.85674942262619,5.45797202973028,-1.99613739461776,2.15990620226254,2.19657920715083,-245.598560325354
1.70800893794638,4.1450620633184,-0.977884694957821,2.21040315883019,2.07742066496454,-245.676998224035
1.72598595547044,4.38695958066894,-1.08791609317019,1.9774240523168,2.10599774042405,-244.289901584728
1.86156340608947,4.32330470426844,-0.791996209679261,1.9949902394816,2.29402001157216,-244.664203595036
1.89144436440406,4.12169562211516,-0.898076297924173,2.21615172271587,2.27414521615977,-245.503112366635
1.74786945564417,4.79804456354471,-0.560297715324618,2.22213183224144,2.29374504054869,-246.644637286829
2.05127681400547,4.62311614709524,-1.55205996775295,2.0385448606638,2.3678321513111,-243.794448909072
2.04622652610494,4.90110263314195,-1.97637156973945,2.04912310876044,2.31333621969567,-244.269199679619
1.87904554720289,4.70706711895281,-1.23189306982699,1.92681713179257,2.27342175605976,-243.92376598888
2.03006098033731,4.29344363429784,-1.8347520695056,2.08227799174385,2.24265622585999,-244.278584225851
2.05400482036864,4.38558175630991,-1.74741777772581,2.19363109579641,2.29737793619225,-244.794290785944
1.96687559461746,5.26215712680468,-1.26585649528806,2.195312355882,2.43078902687574,-245.7470623309
1.79630994927631,5.10315625270922,-1.28756713743529,1.92070155695353,2.23380036949097,-244.431445201457
1.93315007914919,4.77825633904623,-1.7003346593994,2.01221070633116,2.24042654121087,-243.715090067967
1.72250291149397,4.56296479934381,-1.27272336796019,2.00593025161963,2.08855529044618,-244.081185066241
2.29212628186215,4.29963600291843,-2.00919649005117,2.07787694984647,2.46948369811617,-245.231948353317
1.91343829783417,4.69426930794994,-1.47743701579326,1.98322040361478,2.25524709566315,-243.588727576529
